conm,conml,Year_Last,weburl,loc,tic
AAR CORP,AAR Corp,2021,www.aarcorp.com,USA,AIR
AMERICAN AIRLINES GROUP INC,American Airlines Group Inc,2021,www.aa.com,USA,AAL
CECO ENVIRONMENTAL CORP,CECO Environmental Corp.,2021,www.cecoenviro.com,USA,CECE
ASA GOLD AND PRECIOUS METALS,ASA Gold and Precious Metals Ltd,2021,www.asaltd.com,USA,ASA
AVX CORP,AVX Corp.,2021,www.avx.com,USA,AVX
PINNACLE WEST CAPITAL CORP,Pinnacle West Capital Corp,2021,www.pinnaclewest.com,USA,PNW
PROG HOLDINGS INC,PROG Holdings Inc,2021,investor.progleasing.com,USA,PRG
ABBOTT LABORATORIES,Abbott Laboratories,2021,www.abbott.com,USA,ABT
WORLDS INC,Worlds Inc,2021,www.worlds.com,USA,WDDD
ACETO CORP,Aceto Corp,2021,www.aceto.com,USA,ACETQ
ACMAT CORP  -CL A,ACMAT Corp,2021,www.acmatcorp.com,USA,ACMTA
ACME UNITED CORP,Acme United Corp,2021,www.acmeunited.com,USA,ACU
BK TECHNOLOGIES CORP,BK Technologies Corp,2021,www.bktechnologies.com,USA,BKTI
ADAMS DIVERSIFIED EQUITY FD,Adams Diversified Equity Fund Inc,2021,www.adamsfunds.com,USA,ADX
ADAMS RESOURCES & ENERGY INC,Adams Resources & Energy Inc.,2021,www.adamsresources.com,USA,AE
ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2021,www.amd.com,USA,AMD
AETNA INC,Aetna Inc.,2021,www.aetna.com,USA,AET
AIR PRODUCTS & CHEMICALS INC,Air Products and Chemicals Inc.,2021,www.airproducts.com,USA,APD
AIR T INC,Air T Inc,2021,www.airt.net,USA,AIRT
SPIRE ALABAMA INC,Alabama Gas Corp,2021,www.spireenergy.com,USA,EGN1
ALABAMA POWER CO,Alabama Power Co,2021,www.alabamapower.com,USA,SO1
ALASKA AIR GROUP INC,ALASKA AIR GROUP INC,2021,www.alaskaair.com,USA,ALK
ATRION CORP,ATRION Corp,2021,www.atrioncorp.com,USA,ATRI
MATSON INC,Matson Inc,2021,www.matson.com,USA,MATX
ALEXANDER'S INC,Alexander's Inc.,2021,www.alx-inc.com,USA,ALX
ALICO INC,Alico Inc,2021,www.alicoinc.com,USA,ALCO
ALLEGHANY CORP,Alleghany Corp,2021,www.alleghany.com,USA,Y
HONEYWELL INTERNATIONAL INC,Honeywell International Inc,2021,www.honeywell.com,USA,HON
SKYWORKS SOLUTIONS INC,Skyworks Solutions Inc,2021,www.skyworksinc.com,USA,SWKS
ARROW DOW JONES GLBL YLD ETF,Arrow Dow Jones Global Yield ETF,2021,arrowfunds.com,USA,GYLD
HESS CORP,Hess Corp,2021,www.hess.com,USA,HES
AMERICAN AIRLINES INC,American Airlines Inc,2021,www.aa.com,USA,AMR1
AMERCO,Amerco,2021,www.amerco.com,USA,UHAL
AMERICAN BILTRITE INC,American Biltrite Inc.,2021,www.ambilt.com,USA,ABLT
ABM INDUSTRIES INC,ABM Industries Inc,2021,www.abm.com,USA,ABM
PRIMERICA INC,Primerica Inc,2021,www.primerica.com,USA,PRI
INVESCO BOND FUND,Invesco Bond Fund,2021,www.invesco.com,USA,VBF
US ECOLOGY INC,US Ecology Inc,2021,www.usecology.com,USA,ECOL
AMERICAN ELECTRIC POWER CO,American Electric Power Co Inc,2021,www.aep.com,USA,AEP
AMERICAN EXPRESS CO,American Express Co,2021,www.americanexpress.com,USA,AXP
AFLAC INC,AFLAC Inc,2021,www.aflac.com,USA,AFL
AMERICAN INTERNATIONAL GROUP,American International Group Inc,2021,www.aig.com,USA,AIG
VANECK VECTORS EMG MKT HIGH,VanEck Vectors Emerging Markets High Yield Bond ETF,2021,www.vaneck.com,USA,HYEM
AMERICAN NATIONAL GROUP INC,American National Group Inc,2021,www.americannational.com,USA,ANAT
AMERICAN REALTY INVESTORS,American Realty Investors Inc.,2021,www.americanrealtyinvest.com,USA,ARL
AMERICAN SCIENCE ENGINEERING,American Science and Engineering Inc.,2021,rapiscan-ase.com,USA,ASEI
AMERICAN SHARED HSPTL SERV,American Shared Hospital Services,2021,ashs.com,USA,AMS
AMERICAN SOFTWARE  -CL A,American Software Inc,2021,www.amsoftware.com,USA,AMSWA
AMERICAN VANGUARD CORP,American Vanguard Corp,2021,www.american-vanguard.com,USA,AVD
AMETEK INC,AMETEK Inc,2021,www.ametek.com,USA,AME
AMGEN INC,Amgen Inc,2021,www.amgen.com,USA,AMGN
AMPCO-PITTSBURGH CORP,Ampco-Pittsburgh Corp,2021,ampcopgh.com,USA,AP
AMREP CORP,AMREP Corp.,2021,www.amrepcorp.com,USA,AXR
ANALOG DEVICES,Analog Devices Inc,2021,www.analog.com,USA,ADI
ANALOGIC CORP,Analogic Corp,2021,www.analogic.com,USA,ALOG
ANDREA ELECTRONICS CORP,Andrea Electronics Corp,2021,www.andreaelectronics.com,USA,ANDR
ANDERSONS INC,Andersons Inc (The),2021,andersonsinc.com,USA,ANDE
APA CORP,APA Corporation,2021,apacorp.com,USA,APA
APOGEE ENTERPRISES INC,Apogee Enterprises Inc,2021,www.apog.com,USA,APOG
APPALACHIAN POWER,Appalachian Power,2021,www.appalachianpower.com,USA,AEP1
APPLE INC,Apple Inc,2021,www.apple.com,USA,AAPL
APPLIED MATERIALS INC,Applied Materials Inc,2021,www.appliedmaterials.com,USA,AMAT
ENERPAC TOOL GROUP CORP,Enerpac Tool Group Corp,2021,www.enerpactoolgroup.com,USA,EPAC
TRECORA RESOURCES,Trecora Resources,2021,www.trecora.com,USA,TREC
ADVANCED OXYGEN TECHNOLOGY,Advanced Oxygen Technology,2021,www.aoxy-ca.com,USA,AOXY
ARCHER-DANIELS-MIDLAND CO,Archer-Daniels-Midland Co,2021,www.adm.com,USA,ADM
ARIZONA PUBLIC SERVICE CO,Arizona Public Service Co,2021,www.aps.com,USA,PNW1
ARCBEST CORP,ArcBest Corp,2021,www.arcb.com,USA,ARCB
ENTERGY ARKANSAS,Entergy Arkansas,2021,www.entergy-arkansas.com,USA,ETR1
ARROW ELECTRONICS INC,Arrow Electronics Inc,2021,www.arrow.com,USA,ARW
ARTS WAY MFG INC,Art's Way Manufacturing Co. Inc,2021,www.artsway-mfg.com,USA,ARTW
ASHLAND GLOBAL HOLDINGS INC,Ashland Global Holdings Inc,2021,www.ashland.com,USA,ASH
ASTRONOVA INC,AstroNova Inc,2021,www.astronovainc.com,USA,ALOT
ASTRONICS CORP,Astronics Corp,2021,www.astronics.com,USA,ATRO
SOUTHERN CO GAS,Southern Co Gas,2021,www.southerncompanygas.com,USA,SO7
REX AMERICAN RESOURCES CORP,Rex American Resources Corp,2021,www.rexamerican.com,USA,REX
AUTODESK INC,AUTODESK INC,2021,www.autodesk.com,USA,ADSK
AUTOMATIC DATA PROCESSING,Automatic Data Processing Inc,2021,www.adp.com,USA,ADP
A V HOMES INC,A V Homes Inc,2021,www.taylormorrison.com/av-homes,USA,AVHI.1
AVERY DENNISON CORP,Avery Dennison Corp,2021,www.averydennison.com,USA,AVY
AVNET INC,Avnet Inc,2021,www.avnet.com,USA,AVT
AZZ INC,AZZ Inc,2021,www.azz.com,USA,AZZ
BRT APARTMENTS CORP,Brt apartments corp,2021,www.brtapartments.com,USA,BRT
BADGER METER INC,Badger Meter Inc.,2021,www.badgermeter.com,USA,BMI
BAKER HUGHES INC,Baker Hughes Inc,2021,www.bakerhughes.com,USA,BHI
BALCHEM CORP  -CL B,Balchem Corp,2021,www.balchem.com,USA,BCPC
PROTECTIVE INSURANCE CORP,Protective Insurance Corp,2021,www.protectiveinsurance.com,USA,PTVCB
BALL CORP,BALL CORPORATION,2021,www.ball.com,USA,BALL
POPULAR INC,Popular Inc,2021,www.popular.com,USA,BPOP
BANK OF HAWAII CORP,Bank of Hawaii Corp,2021,www.boh.com,USA,BOH
BANK OF NEW YORK MELLON CORP,Bank of New York Mellon Corp (The),2021,www.bnymellon.com,USA,BK
BARD (C.R.) INC,Bard (C.R.) Inc,2021,www.crbard.com,USA,BCR
BARNES GROUP INC,Barnes Group Inc,2021,www.barnesgroupinc.com,USA,B
BARNWELL INDUSTRIES,Barnwell Industries Inc,2021,www.brninc.com,USA,BRN
BASSETT FURNITURE INDS,Bassett Furniture Industries Inc.,2021,www.bassettfurniture.com,USA,BSET
BAXTER INTERNATIONAL INC,Baxter International Inc,2021,www.baxter.com,USA,BAX
APPLIED INDUSTRIAL TECH INC,Applied Industrial Technologies Inc,2021,www.applied.com,USA,AIT
BECTON DICKINSON & CO,Becton Dickinson and Co,2021,www.bd.com,USA,BDX
BEL FUSE INC,Bel Fuse Inc.,2021,www.belfuse.com,USA,BELFB
VERIZON COMMUNICATIONS INC,Verizon Communications Inc,2021,www.verizon.com,USA,VZ
BERKSHIRE HATHAWAY,Berkshire Hathaway Inc,2021,www.berkshirehathaway.com,USA,BRK.B
BEST BUY CO INC,Best Buy Co Inc,2021,investors.bestbuy.com,USA,BBY
BIO-RAD LABORATORIES INC,Bio-Rad Laboratories Inc,2021,www.bio-rad.com,USA,BIO
NON INVASIVE MONITOR,Non Invasive Monitor,2021,www.nims-inc.com,USA,NIMU
BLACK HILLS CORP,Black Hills Corp,2021,www.blackhillscorp.com,USA,BKH
BLOCK H & R INC,Block H&R Inc,2021,www.hrblock.com,USA,HRB
BLOUNT INTL INC,Blount International Inc.,2021,www.oregontool.com,USA,BLT
